title,price,bedrooms,bathrooms,beds,placeType,spotPhotos,description,address,latitude,longitude,city,state
CORAL RIDGE ISLES,120,0,1,1,Apartment,http://cdn.photos.sparkplatform.com/fl/20200707110109533460000000-o.jpg,"BEAUTIFUL 400 SQ.FT. STUDIO WITH PRIVATE ENTRANCE IN GORGEOUS PROPERTY. EXCELLENT NEIGHBORHOOD! HEATED POOL, IMPACT SHUTTERS, KEYLESS LOCKS, COMPLETELY REMODELED! SUPER HIGH-END KITCHENNETTE, GORGEOUS BATHROOM. BEAUTIFUL GAZEBO WITH HANGING LIGHTS. PROPERTY FEATURES EXTERIOR LIGHTING AND MINI SPLIT A/C (NOT WINDOW UNIT - SUPER QUIET). DON'T MISS OUT ON THIS BEAUTIFUL CORAL RIDGE ISLES HOME! IT CAN BE RENTED FURNISHED OR UNFURNISHED. PET FRIENDLY. SHARED POOL. YARD AND POOL MAINTENANCE INCLUDED IN RENT. PLEASE ASK US ABOUT OUR OTHER BEAUTIFUL RENTALS FROM OUR EXTENSIVE PORTFOLIO.",1740 NE 49th Street #1101,26.187804,-80.123685,Fort Lauderdale,FL
palm beach point,750,1,1,1,Cottage,http://cdn.photos.sparkplatform.com/fl/20200625204208072884000000-o.jpg,"9 to 12 large matted stalls (12x12) available, conveniently located for optional hacking distance to both WEF and the Ridge horse shows. Set on 5 acres with a private, cul-de-sac location in the exclusive gated community of Palm Beach Point. This first class equestrian facility includes a riding arena suitable for dressage or jumping, and 6 grass paddocks. The barn is equipped with fly system, security cameras. Air-conditioned tack room w/ bathroom, washer dryer and mini kitchen. Apartment availAdditional apartment for barn manager or groom housing available for additional cost. Apartment features kitchen and private bathroom overlooking views of grassy paddocks. Individual stall watering, individual fan system per stall, and individual fly system. Matted wash rack with cold and hot water.",4491 Palm Breeze Trail,26.616291,-80.293194,Wellington,FL
OCEAN POINT DOUBLE TREE,440,2,2,2,Condo,http://cdn.photos.sparkplatform.com/fl/20210327025542719001000000-o.jpg,"Breathtaking direct Ocean Views from every room. Stunning two bed, two & half bath unit. Great split floor plan, tile floors on every room, unit comes fully decorated and furnished & included Washer and Drier. On Hotel program, can be used as a private home or hotel. Excellent for corporate use. Condo fee included electricity, cable, water, A/C maintenance. Building offers concierge service, piano bar, business center, gym/spa, pool & Jacuzzi, beach service, restaurant and beach bar. Best price per sqf. in Sunny Isles",17375 Collins Avenue #2603,25.93701,-80.120603,Sunny Isles Beach,FL
TREE TOP SUB,175,2,1,2,Apartment,http://cdn.photos.sparkplatform.com/fl/20210427161337912270000000-o.jpg,Pet fee $150 per monthUtilities not included for annual rent annual price unfurnished $1450,8520 SW 107th Avenue #2-B1,25.689547,-80.368122,Miami,FL
Wimbledon Tennis Lodges,300,1,1,1,Apartment,http://cdn.photos.sparkplatform.com/fl/20200714152438019510000000-o.jpg,"Available for short term rental for 1 month or more!! STARTING APRIL 2021  Equestrians delight, gorgeous studio recently renovated by high end interior designer.  Perfectly situated in the prestigious community of Palm Beach Polo & Country Club. Conveniently located near all top international equestrian activities, shopping and twenty minutes from Palm Beach. One bedroom and one bathroom. A private patio that extends the length of the unit and offers a tranquil retreat over looking a stunning pond and fountain. Fully furnished with 1 Queen bed, additional day bed, can sleep up to four people. Unit is equipped with washer/dryer, walk-in closet, all linens and kitchen including all dinnerware and utensils. Includes heated pool and Jacuzzi.",11863 Wimbledon Circle #519,26.65083,-80.222611,Wellington,FL
ELLESMERE B CONDO,190,1,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20200717161536801595000000-o.jpg,"Fully furnished winter seasonal rental available, minimum rental term is 4 months. Lovely 1 BR 1.5 Baths. Enclosed patio overlooking serene garden views. Walking distance to club house, near beaches, entertainment, great unit to keep warm in winter. Enjoy club house with theater, tennis, pool, social activities, classes, exercise, indoor and outdoor pools, and more.",3026 Ellesmere B #3026,26.317173,-80.140681,Deerfield Beach,FL
THE DECOPLAGE CONDO,150,1,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20210421203826927897000000-o.jpg,"STUDIO AT FAMOUS DECOPLAGE BUILDING WITHIN WALKING DISTANCE TO THE MOST TRENDY RESTAURANTS AND PLACES IN SOBE. WHERE LINCOLN RD MEETS THE OCEAN, ACROSS FROM THE RITZ CARLTON AND NEXT TO THE LOWES HOTEL. RENOVATED HEATED POOL AND NEW GYM FULLY FURNISHED UNIT WATER, SEWER, CABLE, WIFI AND VALET PARKING SPACE INCLUDED IN THE RENT * Rent price may vary for short term rentals (less than 6 months) and winter season (NOVEMBER - APRIL)* Move out cleaning fee will be paid upfront*",100 Lincoln Road #731,25.790359,-80.128977,Miami Beach,FL
EDGE CONDO,160,0,1,1,Condo,http://cdn.photos.sparkplatform.com/fl/20200729214359509728000000-o.jpg,"AVAILABLE AS OF AUGUST thru DEC 2021.  Imagine living in a high-rise condo with fabulous views! Also imagine being minutes from the beach, shopping and dining.  This large 1 bedroom studio is beautifully furnished and fully turnkey with 10' ceilings that give the feeling of real spaciousness.  Lots of natural light!  Located on the 12th floor of The Edge Condo building, It overlooks the pool area, the city of West Palm Beach and Clear Lake.  You can lease for a min of 3 months.  1 pet allowed <20 lbs with pet fee.  The building provides concierge service and security, a pool with spa, well equipped fitness center and large clubhouse.  Extremely close the The Kravis Center of the Performing Arts and City Place, where you can enjoy excellent shopping and gourmet dining.",300 S Australian Avenue #1215,26.711496,-80.064022,West Palm Beach,FL
Century Village East,190,2,1,2,Condo,http://cdn.photos.sparkplatform.com/fl/20210116022759355395000000-o.jpg,"SEASONAL min. 4 mos. - 2nd Floor CORNER! Lift in Building. Must see this lovely unit with half bath and beautiful newer kitchen. Tiled. Walk-in shower in main bath. Queen-size bed in master bedroom and Murphy bed in second bedroom. Lovely living room has a very large flat screen T.V. Also, there is one in the bedroom. There are also 2 bikes for your use. The condo also has a wine cooler. This is the perfect place to be. Century Village has all the amenities one could hope for....1,700 seat theater, fitness center. 17 pools (one is indoor), tennis, courtesy shuttle, game and card rooms, pickle ball, & 20 billiard tables. Old Florida Caf is next to clubhouse and we are 3.3 miles to the beach & fishing pier. Owners will consider seasonal rental min. 3 mos. at $2,200/mo. for up to 6 months.",149 Markham G,26.309598,-80.141309,Deerfield Beach,FL
BOCA TEECA CONDO 2,180,2,2,2,Condo,http://cdn.photos.sparkplatform.com/fl/20200825200805865435000000-o.jpg,"First floor,very clean corner garden apt with new master bath and new  impact windows. Screened porch.Community has pool,laundry facilities...close to shopping and beaches",5501 NW 2nd Avenue #1140,26.398614,-80.084189,Boca Raton,FL
